Bases,0,1,2
000,0.2630098452883263,0.15660377358490565,0.07159353348729793
001,0.8181818181818182,0.46153846153846156,0.275
010,0.6122448979591837,0.4375,0.2777777777777778
011,0.8,0.631578947368421,0.36
100,0.37341772151898733,0.22564102564102564,0.1073170731707317
101,1.0,0.75,0.2777777777777778
110,0.71875,0.4098360655737705,0.1951219512195122
111,0.75,0.6666666666666666,0.2727272727272727
